"id","name","address","city","state","zip","country","phone","email","totalCapacity"
1,Warehouse Name,Warehouse Address,Warehouse City,Warehouse State,Warehouse Zip,Warehouse Country,Warehouse Phone,Warehouse Email,100
2,UK_London,"123 Main St",London,England,E1 6AN,UK,"123-456-7890",warehouse1@example.com,1000
3,France_Paris,"456 Market St",Paris,Ile-de-France,"75001",France,"234-567-8901",warehouse2@example.com,2000
4,Germany_Berlin,"789 Broadway",Berlin,Berlin,"10115",Germany,"345-678-9012",warehouse3@example.com,3000
5,Spain_Madrid,"321 State St",Madrid,Madrid,"28001",Spain,"456-789-0123",warehouse4@example.com,4000
6,Italy_Rome,"654 Elm St",Rome,Lazio,"00118",Italy,"567-890-1234",warehouse5@example.com,5000
7,Netherlands_Amsterdam,"987 Pine St",Amsterdam,North Holland,"1011",Netherlands,"678-901-2345",warehouse6@example.com,6000
8,Belgium_Brussels,"147 Oak St",Brussels,Brussels,"1000",Belgium,"789-012-3456",warehouse7@example.com,7000
9,Sweden_Stockholm,"258 Maple St",Stockholm,Stockholm,"111 21",Sweden,"890-123-4567",warehouse8@example.com,8000
10,Poland_Warsaw,"369 Cedar St",Warsaw,Masovian,"00-001",Poland,"901-234-5678",warehouse9@example.com,9000
11,Portugal_Lisbon,"741 Spruce St",Lisbon,Lisbon,"1100-061",Portugal,"012-345-6789",warehouse10@example.com,10000
12,Croatia_Zagreb,Radnicka 25,Zagreb,Croatia,"10000",Croatia,"123-456-7899",warehouse11@example.com,2000
